hotel_id,hotel_name,cty,gugun,emd,addr,road_addr,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
504,케이 관광호텔,제주시,-,연동,제주 제주시 연동 251-79,제주특별자치도 제주시 연동3길 10,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.48904072486099,126.4879202289429
505,유니호텔,제주시,-,애월읍,제주 제주시 애월읍 구엄리 1216,제주특별자치도 제주시 애월읍 애월해안로 656,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.47941682257472,126.3734269016417
506,사하라,청주시,흥덕구,강서동,충청북도 청주시 흥덕구 강서동 83-2,충북 청주시 흥덕구 강서로 83-8,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.6238676924979,127.425720156522
507,신라스테이제주,제주시,-,연동,제주 제주시 연동 274-16,제주특별자치도 제주시 노연로 100,제주,국내,미등급,301.0,200개 이상,관광호텔,분류,33.4855442721997,126.490899184243
508,제니아관광호텔,제주시,-,연동,제주 제주시 연동 282-20,제주 제주시 은남1길 25,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.4891133837909,126.493093274997
509,제주갤럭시호텔,제주시,-,용담1동,제주 제주시 용담1동 183-2,제주특별자치도 제주시 남성로 33,제주,국내,3성,85.0,100개 미만,관광호텔_제주,분류,33.50315717594237,126.5125679162101
510,베니키아호텔제주(구. 뉴베니키아호텔제주),제주시,-,애월읍,제주 제주시 애월읍 신엄리 2736-1,제주 제주시 애월읍 애월해안로 554-6,제주,국내,미등급,88.0,100개 미만,관광호텔,분류,33.4777415575671,126.36240759002
511,해마호텔,제주시,-,연동,제주특별자치도 제주시 연동 261-3,제주특별자치도 제주시 삼무로 28,제주,국내,3성,89.0,100개 미만,관광호텔_제주,분류,33.48970471688793,126.4895518725329
512,에스호텔,제주시,-,도두1동,제주 제주시 도두1동 2272-2,제주특별자치도 제주시 오일장중길 26,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.49541204606956,126.4713356742536
513,블랙샌즈관광호텔,제주시,-,삼양2동,제주 제주시 삼양2동 2140-1,제주 제주시 선사로 8,제주,국내,3성,78.0,100개 미만,관광호텔_제주,분류,33.5219204519901,126.587338704286
514,호텔더원,제주시,-,연동,제주 제주시 연동 279-3,제주특별자치도 제주시 사장3길 33,제주,국내,4성,180.0,200개 미만,관광호텔_제주,분류,33.4826849687816,126.491406107553
515,하버관광호텔,제주시,-,건입동,제주 제주시 건입동 1037-1,제주 제주시 임항로 260,제주,국내,2성,30.0,100개 미만,관광호텔_제주,분류,33.5176900942666,126.538267628146
516,탐라스테이,제주시,-,애월읍,제주 제주시 애월읍 하귀2리 2732,제주특별자치도 제주시 애월읍 애월해안로 881,제주,국내,미등급,116.0,200개 미만,관광호텔,분류,33.4869588776622,126.39123062109
517,스카이힐비즈니스 관광호텔,제주시,-,삼도1동,제주 제주시 삼도1동 580-27,제주 제주시 서광로24길 1,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.49943653001361,126.5232845566198
518,슬림관광호텔,제주시,-,이도2동,제주 제주시 이도2동 1776-31,제주 제주시 서광로 292-1,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.5001991798798,126.5277324213
519,플로라제주 제이드림호텔,제주시,-,연동,제주 제주시 연동 272-26,제주특별자치도 제주시 은남1길 40,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.4893667061517,126.491546638773
520,어반아일랜드호텔,제주시,-,연동,제주 제주시 연동 292-27,제주특별자치도 제주시 삼무로 76,제주,국내,3성,70.0,100개 미만,관광호텔_제주,분류,33.4895690776308,126.494734132205
521,더스테이센추리호텔,제주시,-,애월읍,제주 제주시 애월읍 하귀1리 544-2,제주특별자치도 제주시 애월읍 일주서로 7113,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.48484028263278,126.4089330564454
522,오드리 인,제주시,-,이호1동,제주 제주시 이호1동 345,제주특별자치도 제주시 서해안로 100,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.50305361702549,126.4601840739276
523,스위트캐슬(구.Best One 관광호텔),제주시,-,조천읍,제주 제주시 조천읍 함덕리 3230-1,제주 제주시 조천읍 신북로 443,제주,국내,미등급,90.0,100개 미만,관광호텔,분류,33.54420728566155,126.6569041388237
524,호텔난타,제주시,-,오등동,제주 제주시 오등동 10-1,제주특별자치도 제주시 선돌목동길 56-26,제주,국내,4성,204.0,200개 이상,관광호텔_제주,분류,33.4456543573036,126.547596144209
525,호텔샬롬,제주시,-,이도2동,제주 제주시 이도2동 1174-1,제주특별자치도 제주시 동광로 34,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.50199009471851,126.5325805516552
526,제주레슬리호텔,제주시,-,노형동,제주 제주시 노형동 2488-1,제주특별자치도 제주시 광평길 3,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.4811539117732,126.470614290392
527,제주노블레스 관광호텔,제주시,-,용담2동,제주 제주시 용담2동 2761,제주특별자치도 제주시 월성로4길 19,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.50117264441202,126.5034531690651
528,호텔 시리우스,제주시,-,연동,제주 제주시 연동 2334-4,제주특별자치도 제주시 도령로 133,제주,국내,4성,280.0,200개 이상,관광호텔_제주,분류,33.4934418614594,126.491053978301
529,다인오세아노호텔,제주시,-,애월읍,제주 제주시 애월읍 고내리 84,제주특별자치도 제주시 애월읍 애월해안로 394,제주,국내,4성,83.0,100개 미만,관광호텔_제주,분류,33.4725088190749,126.350335761566
530,시티홀관광호텔제주,제주시,-,이도2동,제주 제주시 이도2동 1176-43,제주 제주시 동광로4길 9-4,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.5007697647722,126.5319769277284
531,그랜드하얏트 제주,제주시,-,노형동,제주 제주시 노형동 925,제주특별자치도 제주시 노연로 12,제주,국내,5성,750.0,200개 이상,관광호텔_제주,분류,33.48524230014456,126.4814114732188
532,꼬뜨도르가족호텔,제주시,-,구좌읍,제주 제주시 구좌읍 동복리 827,제주특별자치도 제주시 구좌읍 일주동로 1724,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.55197243856026,126.7166801473376
533,그림리조트,제주시,-,용담3동,제주 제주시 용담3동 1020-4,제주특별자치도 제주시 서해안로 620-1,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.5163180963028,126.5035894639409
534,다인리조트,제주시,-,애월읍,제주 제주시 애월읍 고내리 79-8,제주특별자치도 제주시 애월읍 애월해안로 400-9,제주,국내,미등급,33.0,100개 미만,관광호텔,분류,33.4714908987742,126.351156220975
535,올레리조트,제주시,-,애월읍,제주 제주시 애월읍 신엄리 2867-3,제주특별자치도 제주시 애월읍 부룡수길 33,제주,국내,미등급,53.0,100개 미만,관광호텔,분류,33.4753868045328,126.356269452893
536,베스트웨스턴 제주호텔,제주시,-,노형동,제주 제주시 노형동 1295-16,제주특별자치도 제주시 도령로 27,제주,국내,4성,346.0,200개 이상,관광호텔_제주,분류,33.4878001190012,126.481864825168
537,아모렉스리조트,제주시,-,도두1동,제주 제주시 도두1동 1742,제주특별자치도 제주시 서해안로 216,제주,국내,3성,173.0,200개 미만,관광호텔_제주,분류,33.50746206273323,126.4703454588378
538,제주나인리조트,제주시,-,해안동,제주 제주시 해안동 2109,제주특별자치도 제주시 해안마을북길 14-5,제주,국내,2성,30.0,100개 미만,가족호텔_제주,분류,33.46498618460455,126.4536991111569
539,하바나호텔앤리조트 (구.하바나리조트),제주시,-,구좌읍,제주 제주시 구좌읍 하도리 2999-1,제주 제주시 구좌읍 해맞이해안로 1590-6,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.52807935015115,126.87376814804
540,부띠끄호텔 빌라드애월,제주시,-,애월읍,제주 제주시 애월읍 신엄리 2768-7,제주특별자치도 제주시 애월읍 애월해안로 516-7,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.4771155535653,126.359236787549
541,로긴리조트,제주시,-,용담3동,제주 제주시 용담3동 2389,제주특별자치도 제주시 서해안로 442-11,제주,국내,2성,31.0,100개 미만,가족호텔_제주,분류,33.51699010973715,126.4885994784706
542,블루하와이리조트,제주시,-,한림읍,제주 제주시 한림읍 금능리 2005,제주특별자치도 제주시 한림읍 한림로 77,제주,국내,3성,86.0,100개 미만,관광호텔_제주,분류,33.3813942527929,126.218099616049
543,제주에어포트호텔,제주시,-,연동,제주 제주시 연동 260-25,제주특별자치도 제주시 도령로 102,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.49096180696441,126.4887428496928
544,오션패밀리호텔 (구 오션패밀리호텔 스토리),제주시,-,이호1동,제주 제주시 이호1동 1725,제주 제주시 일주서로 7531,제주,국내,1성,30.0,100개 미만,가족호텔_제주,분류,33.49527979402346,126.4508768178008
545,하이제주호텔,제주시,-,한림읍,제주특별자치도 제주시 한림읍 협재리 1165,제주특별자치도 제주시 한림읍 일주서로 5125,제주,국내,2성,96.0,100개 미만,가족호텔_제주,분류,33.3917672441234,126.253418976264
546,호텔샹그릴라(구.호텔펄리),제주시,-,해안동,제주 제주시 해안동 2104-2,제주 제주시 해안마을복길 14-6,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.46447,126.454837
547,에코그린리조트(구.에코패밀리호텔),제주시,-,한림읍,제주 제주시 한림읍 귀덕리 1508,제주 제주시 한림읍 귀덕6길 94,제주,국내,미등급,90.0,100개 미만,숙박업(생활),분류,33.43528831814656,126.2914788303812
548,이화호텔,제주시,-,용담2동,제주 제주시 용담2동 1783-1,제주특별자치도 제주시 도령로 155,제주,국내,미등급,미분류,200개 이상,미분류,미분류,33.49474105317532,126.4921963872084
549,마레보가족호텔,제주시,-,애월읍,제주 제주시 애월읍 고내리 41,제주 제주시 애월읍 신엄안3길 135,제주,국내,3성,95.0,100개 미만,관광호텔_제주,분류,33.4706533976688,126.354450892
