hotel_name,road_addr,hotel_id,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
포항 호텔뷰,경북 포항시 북구 해안로 91,10443,경상,국내,미등급,미분류,200개 이상,미분류,미분류,36.0568797829236,129.377667501358
호텔스퀘어 안산,경기 안산시 단원구 동산로 81,10444,경기,국내,3성,203.0,200개 이상,관광호텔업,분류,37.3145062254768,126.798936792771
호텔 스테이 구미,경북 구미시 여헌로 9,10445,경상,국내,2성,60.0,100개 미만,관광호텔업,분류,36.1032257374778,128.423400692242
천안상록리조트,충남 천안시 동남구 수신면 수신로 576,10446,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.7404707929483,127.288935626003
원주 시티 호텔,강원도 원주시 건강로 4 (반곡동),10447,강원,국내,3성,49.0,100개 미만,관광호텔업,분류,37.326893,128.0139391
호텔무등파크 광주,광주 동구 지호로164번길 14-10,10448,전라,국내,2성,110.0,200개 미만,관광호텔업,분류,35.1487597375332,126.946834844587
호텔 도노,경기 수원시 팔달구 신풍로 68,10449,경기,국내,1성,41.0,100개 미만,관광호텔업,분류,37.2870468343261,127.01389790567
울릉도 이사부 호텔,경북 울릉군 울릉읍 도동1길 21-1,10450,경상,국내,미등급,미분류,200개 이상,미분류,미분류,37.4827248661364,130.907314275365
노보텔 앰배서더 대구,대구 중구 국채보상로 611,10452,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.8709525706163,128.598106175158
라움호텔(창원),경남 창원시 진해구 가주로15번길 42,10453,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.1045914233446,128.837606526335
신림 k2,서울 관악구 신림로64길 29,10454,서울,국내,1성,45.0,100개 미만,관광호텔업,분류,37.4852398226648,126.931361779488
르 메르디앙 서울 명동,서울 중구 명동8나길 38,10455,서울,국내,미등급,200.0,200개 이상,관광호텔,분류,37.5617094550686,126.982674651463
동화킴스관광호텔,서울 종로구 평창문화로 136,10456,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.6094969619613,126.975156904149
베니키아 뉴수원 관광호텔,경기 수원시 팔달구 화서문로72번길 33,10457,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.2845464272798,127.01685891743
서울관광호텔,충북 제천시 의병대로13길 10,10458,충청,국내,2성,45.0,100개 미만,관광호텔업,분류,37.1376150489765,128.20871266664
수원 엠에스 호텔,경기 수원시 권선구 효원로220번길 22,10459,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.2621088456918,127.02522568947
나이아가라호텔,서울 강서구 양천로 743,10460,서울,국내,3성,98.0,100개 미만,관광호텔업,분류,37.5491852934432,126.878623490232
베스트웨스턴 인천로얄호텔,인천 남동구 백범로 367,10461,경기,국내,4성,140.0,200개 미만,관광호텔업,분류,37.4653948267513,126.710231013863
이비스 앰배서더 호텔 인사동,서울 종로구 삼일대로30길 31,10462,서울,국내,3성,363.0,200개 이상,관광호텔업,분류,37.5743758276449,126.989513872553
베니키아 호텔 플라워,서울 동대문구 왕산로 269,10463,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5848750334646,127.050526314294
베니키아 노블 호텔,서울 종로구 율곡로6길 13-3,10464,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.576677071828,126.989672150736
노보텔 앰배서더 독산,서울 금천구 시흥대로 378,10465,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.467487974055,126.898375019763
이츠관광호텔,인천 중구 연안부두로53번길 15,10466,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.4536026855321,126.602381952454
통영 브릿지호텔,경남 통영시 용남면 남해안대로 18,10468,경상,국내,2성,21.0,100개 미만,소형호텔업,분류,34.8908596989036,128.473992188173
여우비 호텔,경남 창원시 마산합포구 월영동11길 22,10469,경상,국내,2성,60.0,100개 미만,관광호텔업,분류,35.1803647465084,128.564876009247
아이네이버 호텔,인천 중구 월미로243번길 5,10470,경기,국내,미등급,미분류,200개 이상,미분류,미분류,37.4740962178324,126.599545516907
